"DATE","NDVI","site.name"
2000-02-18,0.3532,"Bartlett_Experimental_Forest"
2000-03-05,0.5132,"Bartlett_Experimental_Forest"
2000-03-21,0.4962,"Bartlett_Experimental_Forest"
2000-04-06,0.466,"Bartlett_Experimental_Forest"
2000-04-22,0.4666,"Bartlett_Experimental_Forest"
2000-05-08,0.7795,"Bartlett_Experimental_Forest"
2000-05-24,0.8953,"Bartlett_Experimental_Forest"
2000-06-09,0.8629,"Bartlett_Experimental_Forest"
2000-06-25,0.9071,"Bartlett_Experimental_Forest"
2000-07-11,0.9585,"Bartlett_Experimental_Forest"
2000-07-27,0.9222,"Bartlett_Experimental_Forest"
2000-08-12,0.8777,"Bartlett_Experimental_Forest"
2000-08-28,0.8963,"Bartlett_Experimental_Forest"
2000-09-13,0.8128,"Bartlett_Experimental_Forest"
2000-09-29,0.808,"Bartlett_Experimental_Forest"
2000-10-15,0.5192,"Bartlett_Experimental_Forest"
2000-10-31,0.578,"Bartlett_Experimental_Forest"
2000-11-16,0.5562,"Bartlett_Experimental_Forest"
2000-12-02,0.519,"Bartlett_Experimental_Forest"
2000-12-18,0.3472,"Bartlett_Experimental_Forest"
2001-01-01,0.3472,"Bartlett_Experimental_Forest"
2001-01-17,0.349,"Bartlett_Experimental_Forest"
2001-02-02,0.415,"Bartlett_Experimental_Forest"
2001-02-18,0.4709,"Bartlett_Experimental_Forest"
2001-03-06,0.5659,"Bartlett_Experimental_Forest"
2001-03-22,0.1745,"Bartlett_Experimental_Forest"
2001-04-07,0.3432,"Bartlett_Experimental_Forest"
2001-04-23,0.6213,"Bartlett_Experimental_Forest"
2001-05-09,0.8433,"Bartlett_Experimental_Forest"
2001-05-25,0.8471,"Bartlett_Experimental_Forest"
2001-06-10,0.9046,"Bartlett_Experimental_Forest"
2001-06-26,0.9195,"Bartlett_Experimental_Forest"
2001-07-12,0.9124,"Bartlett_Experimental_Forest"
2001-07-28,0.8984,"Bartlett_Experimental_Forest"
2001-08-13,0.8867,"Bartlett_Experimental_Forest"
2001-08-29,0.8999,"Bartlett_Experimental_Forest"
2001-09-14,0.8592,"Bartlett_Experimental_Forest"
2001-09-30,0.8062,"Bartlett_Experimental_Forest"
2001-10-16,0.5137,"Bartlett_Experimental_Forest"
2001-11-01,0.5807,"Bartlett_Experimental_Forest"
2001-11-17,0.5475,"Bartlett_Experimental_Forest"
2001-12-03,0.5478,"Bartlett_Experimental_Forest"
2001-12-19,0.5281,"Bartlett_Experimental_Forest"
2002-01-01,0.5281,"Bartlett_Experimental_Forest"
2002-01-17,0.1635,"Bartlett_Experimental_Forest"
2002-02-02,0.4718,"Bartlett_Experimental_Forest"
2002-02-18,0.3111,"Bartlett_Experimental_Forest"
2002-03-06,0.3118,"Bartlett_Experimental_Forest"
2002-03-22,0.3292,"Bartlett_Experimental_Forest"
2002-04-07,0.501,"Bartlett_Experimental_Forest"
2002-04-23,0.6009,"Bartlett_Experimental_Forest"
2002-05-09,0.7619,"Bartlett_Experimental_Forest"
2002-05-25,0.8875,"Bartlett_Experimental_Forest"
2002-06-10,0.8898,"Bartlett_Experimental_Forest"
2002-06-26,0.9299,"Bartlett_Experimental_Forest"
2002-07-12,0.8979,"Bartlett_Experimental_Forest"
2002-07-28,0.8897,"Bartlett_Experimental_Forest"
2002-08-13,0.893,"Bartlett_Experimental_Forest"
2002-08-29,0.8931,"Bartlett_Experimental_Forest"
2002-09-14,0.8557,"Bartlett_Experimental_Forest"
2002-09-30,0.8022,"Bartlett_Experimental_Forest"
2002-10-16,0.6557,"Bartlett_Experimental_Forest"
2002-11-01,0.6045,"Bartlett_Experimental_Forest"
2002-11-17,0.4468,"Bartlett_Experimental_Forest"
2002-12-03,0.481,"Bartlett_Experimental_Forest"
2002-12-19,0.4049,"Bartlett_Experimental_Forest"
2003-01-01,-0.3,"Bartlett_Experimental_Forest"
2003-01-17,0.486,"Bartlett_Experimental_Forest"
2003-02-02,0.3463,"Bartlett_Experimental_Forest"
2003-02-18,0.4048,"Bartlett_Experimental_Forest"
2003-03-06,0.1966,"Bartlett_Experimental_Forest"
2003-03-22,0.3815,"Bartlett_Experimental_Forest"
2003-04-07,0.4959,"Bartlett_Experimental_Forest"
2003-04-23,0.5273,"Bartlett_Experimental_Forest"
2003-05-09,0.6783,"Bartlett_Experimental_Forest"
2003-05-25,0.831,"Bartlett_Experimental_Forest"
2003-06-10,0.8901,"Bartlett_Experimental_Forest"
2003-06-26,0.8284,"Bartlett_Experimental_Forest"
